simulation_package/melt/data_generation/outputs/eps_18/rep_004/trajectory.gsd: 1503.093294 tau_R^0 (frames=6075, first_step=11400000, last_step=1226200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_004/virial_tensor_log.gsd: 1503.526355 tau_R^0 (frames=243010, first_step=11205000, last_step=1226355000)
simulation_package/melt/data_generation/outputs/eps_18/rep_005/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1269200000, last_step=1269200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_005/msd_trajectory.gsd: 1556.297946 tau_R^0 (frames=6294, first_step=11400000, last_step=1269200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_005/trajectory.gsd: 1556.297946 tau_R^0 (frames=6294, first_step=11400000, last_step=1269200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_005/virial_tensor_log.gsd: 1556.495917 tau_R^0 (frames=251745, first_step=11205000, last_step=1269165000)
simulation_package/melt/data_generation/outputs/eps_18/rep_006/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1273200000, last_step=1273200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_006/msd_trajectory.gsd: 1561.247216 tau_R^0 (frames=6314, first_step=11400000, last_step=1273200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_006/trajectory.gsd: 1561.247216 tau_R^0 (frames=6314, first_step=11400000, last_step=1273200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_006/virial_tensor_log.gsd: 1561.457560 tau_R^0 (frames=252546, first_step=11205000, last_step=1273175000)
simulation_package/melt/data_generation/outputs/eps_18/rep_007/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1230200000, last_step=1230200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_007/msd_trajectory.gsd: 1508.042564 tau_R^0 (frames=6095, first_step=11400000, last_step=1230200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_007/trajectory.gsd: 1508.042564 tau_R^0 (frames=6095, first_step=11400000, last_step=1230200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_007/virial_tensor_log.gsd: 1508.240535 tau_R^0 (frames=243778, first_step=11205000, last_step=1230165000)
simulation_package/melt/data_generation/outputs/eps_18/rep_008/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1221200000, last_step=1221200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_008/msd_trajectory.gsd: 1496.906706 tau_R^0 (frames=6050, first_step=11400000, last_step=1221200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_008/trajectory.gsd: 1496.906706 tau_R^0 (frames=6050, first_step=11400000, last_step=1221200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_008/virial_tensor_log.gsd: 1497.141797 tau_R^0 (frames=241979, first_step=11205000, last_step=1221195000)
simulation_package/melt/data_generation/outputs/eps_18/rep_009/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1249200000, last_step=1249200000)
